First Name, Middle Name, Last Name, Suffix, Office, State, Twitter Handle, Party, Account Type, Linked Accounts, Active, Notes
Bennett, , Ken, , House Challenger, AZ, BennettArizona, R, Campaign, , Y, 
Greg, , Gianforte, , Gubernatorial Challenger, MT, gianforte, R, Personal, GregForMontana, Y, 
Greg, , Gianforte, , Gubernatorial Challenger, MT, GregForMontana, R, Campaign, gianforte, Y, 
Sue, , Ellspermann, , Lieutenant Governor, IN, SueEllspermann, R, Official, , Y, 
Eric, , Holcomb, , Lieutenant Governor, IN, HolcombForIN, R, Official, , Y,
Claudia,,Tenney,,,NY,claudiatenney,R,House Challenger,,Y,
John,,Faso,,,NY,JohnFasoNy,R,House Challenger,,Y,
Andrew,,Heaney,,,NY,heaneyny,R,House Challenger,,Y,
Pete,,DiCianni,,,IL,petecongress16,R,House Challenger,,Y,
Tonia,,Khouri,,,IL,ToniaKhouri,R,House Challenger,,Y,
Patrick,,Harlan,,,IL,Harlan4Congress,R,House Challenger,,Y,
Jason,,Allen,,,MI,JasonAllenMI ,R,House Challenger,,Y,
Jason,,Allen,,,MI,senatorjallen ,R,House Challenger,,Y,
Jason,,Lewis,,,MN,Jason2CD ,R,House Challenger,,Y,
John,,Howe ,,,MN,senjohnhowe ,R,House Challenger,,Y,
Darlene,,Miller,,,MN,DarleneforCD2,R,House Challenger,,Y,
David,,Gerson,,,MN,Gerson4Congress,R,House Challenger,,Y,
John,,Howe ,,,MN,howeforcongress,R,House Challenger,,Y,
Stewart,,Mills,,,MN,StewartMillsMN ,R,House Challenger,,Y,
Joe,,Garcia,,,FL,JoeGarcia,R,House Challenger,,Y,
Carlos,,Curbelo,,,FL,carloslcurbelo,R,House Challenger,,Y,
Jonathan,,Chane,,,FL,JonathanChane,R,House Challenger,,Y,
Brian,,Mast,,,FL,BrianMastFL,R,House Challenger,,Y,
Rick,, Kozell,,,FL,RickKozellFL,R,House Challenger,,Y,
Rebecca,,Negron,,,FL,RebeccaNegronFL,R,House Challenger,,Y,
Marc,,Freeman,,,FL, markfreemanfl,R,House Challenger,,Y,
Carl,,Domino,,,FL,Carl_Domino,R,House Challenger,,Y,
John,,Mica,,,FL,micaforcongress,R,House Challenger,,Y,
Will,,Hurd,,,TX,WillHurd,R,House Challenger,,Y,
Randy,,Forbes,,,VA,RepRandyForbes,R,House Challenger,,Y,
Scott,,Taylor,,,VA,Scotttaylorva,R,House Challenger,,Y,
Barbara,,Comstock,,,VA,BarbaraComstock,R,House Challenger,,Y,
Pat,,Comstock,,,PA,PatMeehanPA,R,House Challenger,,Y,
Stan,,Casacio ,,,PA,StanCasacio,R,House Challenger,,Y,
Brian,,Fitzpatrick,,,PA,BrianFitzUSA,R,House Challenger,,Y,
Ryan,,Costello,,,PA,ryanacostello,R,House Challenger,,Y,
Elizabeth,, Scott,,,WA,EScottWA,R,House Challenger,,Y,
Michael,,Roberson,,,NV,RobersonForNV,R,House Challenger,,Y,
Andy,,Matthews,,,NV,MatthewsForNV,R,House Challenger,,Y,
Eugene,,Cleek,,,CA,Cleek4Congress,R,House Challenger,,Y,
Kathryn,,Nance,,,CA,Nance2016,R,House Challenger,,Y,
Matt,,Kokkonen,,,CA,MattKokkonen,R,House Challenger,,Y,
Rafael,,Dagnesses,,,CA,Rafael4Congress,R,House Challenger,,Y,
Sean,,Flynn,,,CA,SeanFlynnCA,R,House Challenger,,Y,
Dwight,,Kealy,,,CA,kealy4congress,R,House Challenger,,Y,
Denise,,Gitsham,,,CA,DeniseforSD,R,House Challenger,,Y,
Jacquie,,Atkinson,,,CA,voteatkinson,R,House Challenger,,Y,
